num_exp,departamento,localidad,barrio,direccion,superficie,fecha_inic,fecha_fin,estado,lat,lng,avance_obra,clasificacion,criterio,tipo_vivienda,cant_dormitorios,observacion,id_familia,representante,cuit_org,nivel_riesgo,cluster,dias_activa
SIM-2025-0001,Jiménez,Añatuya,San Jorge,Avenida J.M. de Rosas N° 1825,49,11-07-2025,,Iniciada,-28.451059,-62.843489,34,2a,Inclusion,Urbana,3,,1,"Martinez, Juana",,medio,,340
SIM-2025-0002,Capital,Santiago del Estero,Villa Jardín,Avenida Córdoba N° 251,42,21-12-2025,,Avanzada,-27.767585,-64.265215,49,2a,Inclusion,Rural,2,,2,"Vega, Constanza",30-68902314-5,medio,,177
SIM-2024-0003,Banda,La Banda,Rivadavia,Diag. La Pampa N° 93,41,30-07-2025,,Iniciada,-27.706574,-64.226186,7,4c,Otro,Urbana,2,,3,"Acosta, Martina",30-68902314-5,alto,,321
SIM-2026-0004,Capital,Santiago del Estero,Villa Luján,Diagonal 7 N° 99,41,20-01-2026,,Iniciada,-27.785234,-64.269342,34,OT,Otro,Rural,3,,4,"Soto, Juan Ignacio",,medio,,147
SIM-2026-0005,Capital,Santiago del Estero,Palermo,Avenida Córdoba N° 51,32,11-04-2026,,Iniciada,-27.790645,-64.295439,4,4a,Otro,Rural,2,,5,"Cardozo, Bautista",,bajo,,66
SIM-2025-0006,General Taboada,Añatuya,Catamarca,Avenida Santa Fe N° 744,46,13-04-2025,06-10-2025,Adjudicada,-28.481121,-62.847231,100,OT,Otro,Rural,2,,6,"Garcia, Maria Paz",,bajo,,176
SIM-2026-0007,Capital,Santiago del Estero,Villa Luján,Av. Tucumán N° 1237,54,04-04-2026,,Iniciada,-27.811344,-64.286421,15,5c,Exclusion,Rural,3,,7,"Alvarez, Thiago",,bajo,,73
SIM-2025-0008,Banda,La Banda,La Reducción,Av. 1 N° 578,34,13-01-2025,26-09-2025,Adjudicada,-27.739064,-64.238784,100,4b,Otro,Urbana,2,,8,"Ayala, Federico",30-71782995-2,bajo,,256
SIM-2026-0009,Robles,Fernández,4 de Junio,Blv. La Rioja N° 941,36,29-04-2025,09-10-2025,Finalizada,-27.936799,-63.885003,100,5b,Exclusion,Rural,3,,9,"Gonzalez, Josefina",30-59804127-3,bajo,,163
SIM-2025-0010,Capital,Santiago del Estero,Sur,Calle La Rioja N° 9156,42,31-03-2026,,Avanzada,-27.788237,-64.271811,91,4c,Otro,Urbana,3,,10,"Gutierrez, Ema",30-71782995-2,bajo,,77
SIM-2024-0011,Silípica,Clodomira,Villa Luján,Diagonal 5 N° 3095,44,06-07-2025,,Iniciada,-27.581831,-64.099659,4,5a,Exclusion,Urbana,2,,11,"Vega, Sofía",30-68902314-5,alto,,345
SIM-2024-0012,Moreno,Quimilí,25 de Mayo,Diag. Paraná N° 117,35,19-11-2024,22-05-2025,Finalizada,-27.657039,-62.398194,100,2a,Inclusion,Rural,1,,12,"Vargas, Francesca",30-59804127-3,bajo,,184
SIM-2025-0013,General Taboada,Añatuya,Sur,Boulevard Neuquén N° 573,35,13-08-2025,,Iniciada,-28.46724,-62.864274,16,2a,Inclusion,Urbana,2,,13,"Gomez, Juan Pablo",30-71782995-2,alto,,307
SIM-2026-0014,Aguirre,Nueva Esperanza,Sur,Avenida J.J. Castelli N° 1175,45,19-07-2025,15-01-2026,Adjudicada,-27.648456,-62.404708,100,2a,Inclusion,Rural,3,,14,"Benitez, Isabella",30-59804127-3,bajo,,180
SIM-2025-0015,Aguirre,Nueva Esperanza,Villa Jardín,Avenida Río Gallegos N° 56,34,10-02-2025,,Avanzada,-27.654082,-62.42342,55,2b,Inclusion,Urbana,2,,15,"Lopez, Emma",30-71782995-2,medio,,491
SIM-2024-0016,Guasayán,El Charco,Villa del Parque,Boulevard 8 N° 8537,51,27-05-2025,29-11-2025,Adjudicada,-28.076957,-65.031291,100,2b,Inclusion,Urbana,3,,16,"Gonzalez, Santino",30-59804127-3,bajo,,186
SIM-2024-0017,Banda,La Banda,Santa Rosa,Av. La Rioja N° 26,46,05-06-2025,,Iniciada,-27.728815,-64.271735,12,2b,Inclusion,Urbana,2,,17,"Medina, Martina",30-68902314-5,alto,,376
SIM-2026-0018,Jiménez,Añatuya,Palermo,Avenida La Pampa N° 345,48,30-09-2025,06-04-2026,Adjudicada,-28.466931,-62.853185,100,2b,Inclusion,Urbana,2,,18,"Acuña, Santiago Benjamin",30-59804127-3,bajo,,188
SIM-2025-0019,Capital,Santiago del Estero,Santa Rosa,Diagonal Santiago del Estero N° 77,38,24-05-2024,08-03-2025,Finalizada,-27.776442,-64.244237,82,1a,Inclusion,Urbana,2,,19,"Perez, Constantino",30-68902314-5,bajo,,288
SIM-2026-0020,Silípica,Clodomira,Rivadavia,Diag. Viedma N° 53,51,30-03-2026,,Avanzada,-27.576566,-64.127037,66,4b,Otro,Rural,2,,20,"Aguero, Mateo Agustin",30-71782995-2,bajo,,78
SIM-2025-0021,Capital,Santiago del Estero,Villa Luján,Calle Constitución N° 308,36,01-03-2025,,Avanzada,-27.803625,-64.264342,77,2b,Inclusion,Urbana,3,,21,"Molina, Thiago Nahuel",,medio,,472
SIM-2025-0022,Mitre,Bandera,4 de Junio,Avenida J.M. de Rosas N° 76,53,19-10-2025,16-02-2026,Finalizada,-29.295532,-62.253375,93,1a,Inclusion,Urbana,2,,22,"Maldonado, Sofia",,bajo,,120
SIM-2026-0023,Banda,La Banda,Villa del Parque,Diagonal Santa Fe N° 89,47,11-02-2026,24-04-2026,Adjudicada,-27.736296,-64.221936,100,2b,Inclusion,Rural,2,,23,"Gimenez, Ambar",30-71782995-2,bajo,,72
SIM-2026-0024,Robles,Fernández,Villa Hogar,Diagonal Merlo N° 524,55,23-04-2026,,Avanzada,-27.938612,-63.880495,60,5a,Exclusion,Rural,2,,24,"Suarez, Gonzalo",30-68902314-5,bajo,,54
SIM-2024-0025,Robles,Fernández,Villa Jardín,Calle Rawson N° 622,30,19-05-2026,,Avanzada,-27.927645,-63.858836,90,5g,Exclusion,Rural,3,,25,"Torres, Juliana",30-71782995-2,bajo,,28
SIM-2025-0026,Mitre,Bandera,Sur,Boulevard San Luis N° 1712,42,09-08-2025,,Iniciada,-29.259206,-62.266433,33,2a,Inclusion,Urbana,2,,26,"Romero, Julia",,medio,,311
SIM-2026-0027,Capital,Santiago del Estero,Los Ejidos,Avenida 6 N° 998,42,06-05-2026,,Avanzada,-27.793348,-64.296776,67,3a,Inclusion,Rural,2,,27,"Gonzalez, Olivia",30-71782995-2,bajo,,41
SIM-2025-0028,Capital,Santiago del Estero,FONAVI,Calle Rosario N° 632,40,01-03-2025,,Iniciada,-27.788572,-64.234398,16,3a,Inclusion,Urbana,2,,28,"Correa, Lara",30-68902314-5,alto,,472
SIM-2025-0029,Figueroa,Suncho Corral,Los Aromos,Avenida J.M. de Rosas N° 914,50,12-10-2025,,Iniciada,-28.572553,-63.452032,6,2a,Inclusion,Rural,2,,29,"Ponce, Juan Martin",,alto,,247
SIM-2026-0030,Silípica,Clodomira,Villa Hogar,Boulevard 7 N° 56,48,22-07-2024,01-04-2025,Finalizada,-27.565082,-64.142536,100,2a,Inclusion,Urbana,2,,30,"Ramirez, Pedro",30-59804127-3,bajo,,253
SIM-2024-0031,Moreno,Quimilí,25 de Mayo,Diagonal Resistencia N° 83,39,10-04-2026,,Avanzada,-27.636253,-62.395564,78,4b,Otro,Urbana,3,,31,"Acuña, Luciano",30-71782995-2,bajo,,67
SIM-2025-0032,Capital,Santiago del Estero,Sur,Diagonal 5 N° 313,34,04-05-2025,,Iniciada,-27.800898,-64.268058,15,3a,Inclusion,Urbana,3,,32,"Gomez, Clara",30-68902314-5,alto,,408
SIM-2023-0033,Silípica,Clodomira,FONAVI,Avenida Santiago del Estero N° 363,44,22-08-2023,30-12-2023,Adjudicada,-27.56567,-64.128301,100,OT,Otro,Urbana,2,,33,"Leiva, Milena",,bajo,,130
SIM-2026-0034,Jiménez,Añatuya,FONAVI,Diagonal 6 N° 691,41,14-09-2025,24-04-2026,Finalizada,-28.464223,-62.866477,100,4c,Otro,Rural,2,,34,"Gomez, Mateo",30-59804127-3,bajo,,222
SIM-2026-0035,Choya,Frías,Catamarca,Calle 4 N° 851,43,11-04-2026,,Avanzada,-28.654169,-65.151441,87,3a,Inclusion,Urbana,2,,35,"Fernandez, Juana",30-71782995-2,bajo,,66
SIM-2025-0036,Capital,Santiago del Estero,Villa del Parque,Calle Belgrano N° 150,45,25-04-2026,,Avanzada,-27.787727,-64.227049,78,1a,Inclusion,Rural,1,,36,"Rodriguez, Alma Mia",30-71782995-2,bajo,,52
SIM-2024-0037,Rivadavia,Pinto,Palermo,Avenida Catamarca N° 35,31,13-12-2025,13-04-2026,Adjudicada,-29.148364,-61.89834,100,5b,Exclusion,Urbana,3,,37,"Ledesma, Lucas",30-59804127-3,bajo,,121
SIM-2025-0038,Banda,La Banda,Catamarca,Av. 5 N° 548,61,25-07-2025,,Iniciada,-27.735477,-64.238916,7,1a,Inclusion,Rural,1,,38,"Martinez, Sofia",30-68902314-5,alto,,326
SIM-2024-0039,Banda,La Banda,Catamarca,Diag. Tierra del Fuego N° 8654,44,03-03-2025,,Iniciada,-27.738462,-64.234572,12,2a,Inclusion,Urbana,2,,39,"Gonzalez, Camila",30-68902314-5,alto,,470
SIM-2026-0040,Jiménez,Añatuya,25 de Mayo,Avenida 3 N° 37,49,30-04-2026,,Avanzada,-28.481036,-62.820429,52,5e,Exclusion,Urbana,1,,40,"Suarez, Catalina",,bajo,,47
